town_zh,town_en
大同區,DATONG DIST.
中山區,ZHONGSHAN DIST.
松山區,SONGSHAN DIST.
大安區,DA’AN DIST.
萬華區,WANHUA DIST.
信義區,XINYI DIST.
士林區,SHILIN DIST.
北投區,BEITOU DIST.
內湖區,NEIHU DIST.
南港區,NANGANG DIST.
文山區,WENSHAN DIST.
仁愛區,REN’AI DIST.
信義區,XINYI DIST.
中正區,ZHONGZHENG DIST.
中山區,ZHONGSHAN DIST.
安樂區,ANLE DIST.
暖暖區,NUANNUAN DIST.
七堵區,QIDU DIST.
萬里區,WANLI DIST.
金山區,JINSHAN DIST.
板橋區,BANQIAO DIST.
汐止區,XIZHI DIST.
深坑區,SHENKENG DIST.
石碇區,SHIDING DIST.
瑞芳區,RUIFANG DIST.
平溪區,PINGXI DIST.
雙溪區,SHUANGXI DIST.
貢寮區,GONGLIAO DIST.
新店區,XINDIAN DIST.
坪林區,PINGLIN DIST.
烏來區,WULAI DIST.
永和區,YONGHE DIST.
中和區,ZHONGHE DIST.
土城區,TUCHENG DIST.
三峽區,SANXIA DIST.
樹林區,SHULIN DIST.
鶯歌區,YINGGE DIST.
三重區,SANCHONG DIST.
新莊區,XINZHUANG DIST.
泰山區,TAISHAN DIST.
林口區,LINKOU DIST.
蘆洲區,LUZHOU DIST.
五股區,WUGU DIST.
八里區,BALI DIST.
淡水區,TAMSUI DIST.
三芝區,SANZHI DIST.
石門區,SHIMEN DIST.
宜蘭市,YILAN CITY
頭城鎮,TOUCHENG TOWNSHIP
礁溪鄉,JIAOXI TOWNSHIP
壯圍鄉,ZHUANGWEI TOWNSHIP
員山鄉,YUANSHAN TOWNSHIP
羅東鎮,LUODONG TOWNSHIP
三星鄉,SANXING TOWNSHIP
大同鄉,DATONG TOWNSHIP
五結鄉,WUJIE TOWNSHIP
冬山鄉,DONGSHAN TOWNSHIP
蘇澳鎮,SU’AO TOWNSHIP
南澳鄉,NAN’AO TOWNSHIP
東區,EAST DIST.
北區,NORTH DIST.
香山區,XIANGSHAN DIST.
竹北市,ZHUBEI CITY
湖口鄉,HUKOU TOWNSHIP
新豐鄉,XINFENG TOWNSHIP
新埔鎮,XINPU TOWNSHIP
關西鎮,GUANXI TOWNSHIP
芎林鄉,QIONGLIN TOWNSHIP
寶山鄉,BAOSHAN TOWNSHIP
竹東鎮,ZHUDONG TOWNSHIP
五峰鄉,WUFENG TOWNSHIP
橫山鄉,HENGSHAN TOWNSHIP
尖石鄉,JIANSHI TOWNSHIP
北埔鄉,BEIPU TOWNSHIP
峨眉鄉,EMEI TOWNSHIP
中壢區,ZHONGLI DIST.
平鎮區,PINGZHEN DIST.
龍潭區,LONGTAN DIST.
楊梅區,YANGMEI DIST.
新屋區,XINWU DIST.
觀音區,GUANYIN DIST.
桃園區,TAOYUAN DIST.
龜山區,GUISHAN DIST.
八德區,BADE DIST.
大溪區,DAXI DIST.
復興區,FUXING DIST.
大園區,DAYUAN DIST.
蘆竹區,LUZHU DIST.
竹南鎮,ZHUNAN TOWNSHIP
頭份市,TOUFEN CITY
三灣鄉,SANWAN TOWNSHIP
南庄鄉,NANZHUANG TOWNSHIP
獅潭鄉,SHITAN TOWNSHIP
後龍鎮,HOULONG TOWNSHIP
通霄鎮,TONGXIAO TOWNSHIP
苑裡鎮,YUANLI TOWNSHIP
苗栗市,MIAOLI CITY
造橋鄉,ZAOQIAO TOWNSHIP
頭屋鄉,TOUWU TOWNSHIP
公館鄉,GONGGUAN TOWNSHIP
大湖鄉,DAHU TOWNSHIP
泰安鄉,TAI’AN TOWNSHIP
銅鑼鄉,TONGLUO TOWNSHIP
三義鄉,SANYI TOWNSHIP
西湖鄉,XIHU TOWNSHIP
卓蘭鎮,ZHUOLAN TOWNSHIP
中區,CENTRAL DIST.
東區,EAST DIST.
南區,SOUTH DIST.
西區,WEST DIST.
北區,NORTH DIST.
北屯區,BEITUN DIST.
西屯區,XITUN DIST.
南屯區,NANTUN DIST.
太平區,TAIPING DIST.
大里區,DALI DIST.
霧峰區,WUFENG DIST.
烏日區,WURI DIST.
豐原區,FENGYUAN DIST.
后里區,HOULI DIST.
石岡區,SHIGANG DIST.
東勢區,DONGSHI DIST.
和平區,HEPING DIST.
新社區,XINSHE DIST.
潭子區,TANZI DIST.
大雅區,DAYA DIST.
神岡區,SHENGANG DIST.
大肚區,DADU DIST.
沙鹿區,SHALU DIST.
龍井區,LONGJING DIST.
梧棲區,WUQI DIST.
清水區,QINGSHUI DIST.
大甲區,DAJIA DIST.
外埔區,WAIPU DIST.
大安區,DA’AN DIST.
