,Acivity_name,Acivity_time,Region,Address,Latlon,Google_Maps_url,Tag,Picture_url,Url
0,2025 自釀梅酒體驗 (加開場）,2025.05.03 (六) 14:00 - 16:00,台北市,台灣台北市共煮生活實驗室（大安區信義路四段337號七樓）,"25.0332901,121.5538574",https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E7%81%A3%E5%8F%B0%E5%8C%97%E5%B8%82%E5%85%B1%E7%85%AE%E7%94%9F%E6%B4%BB%E5%AF%A6%E9%A9%97%E5%AE%A4%EF%BC%88%E5%A4%A7%E5%AE%89%E5%8D%80%E4%BF%A1%E7%BE%A9%E8%B7%AF%E5%9B%9B%E6%AE%B5337%E8%99%9F%E4%B8%83%E6%A8%93%EF%BC%89,#微醺,https://static.accupass.com/eventbanner/2504150913511617840416_P520x260.jpg,https://www.accupass.com/event/2504150901285938211010?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_
1,【保身健。保心安。保骨壯】母親節三保講座：四時養生-夏除煩＋手作艾草角,2025.05.05 (一) 10:00 - 12:00,桃園市,台灣桃園市總館六樓多功能活動室 (桃園區南平路303號),"25.0178188,121.2975155",https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E7%81%A3%E6%A1%83%E5%9C%92%E5%B8%82%E7%B8%BD%E9%A4%A8%E5%85%AD%E6%A8%93%E5%A4%9A%E5%8A%9F%E8%83%BD%E6%B4%BB%E5%8B%95%E5%AE%A4%20(%E6%A1%83%E5%9C%92%E5%8D%80%E5%8D%97%E5%B9%B3%E8%B7%AF303%E8%99%9F),#母親節,https://static.accupass.com/eventbanner/2504230128455199602180_P520x260.jpg,https://www.accupass.com/event/2504230126441970521048?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_
2,【女生免費限定報名專屬頁面】台北單身限定💕免費！《戀愛杯杯墊》 粉彩畫杯墊X溫柔邂逅派對 💕 五月限定！來場最甜的邂逅派對～ 用你的雙手畫出「練愛感」！新手最合適,2025.05.11 (日) 14:00 - 16:30,台北市,台灣台北市基隆路一段（市政府捷運站走路兩分鐘）,"25.0611459,121.5167929",https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E7%81%A3%E5%8F%B0%E5%8C%97%E5%B8%82%E5%9F%BA%E9%9A%86%E8%B7%AF%E4%B8%80%E6%AE%B5%EF%BC%88%E5%B8%82%E6%94%BF%E5%BA%9C%E6%8D%B7%E9%81%8B%E7%AB%99%E8%B5%B0%E8%B7%AF%E5%85%A9%E5%88%86%E9%90%98%EF%BC%89,#單身聯誼,https://static.accupass.com/eventbanner/2504230836161975866827_P520x260.jpg,https://www.accupass.com/event/2504201636311863251519?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_
3,珍Eye視界公益音樂會,2025.05.09 (五) 19:00 - 21:00,台中市,台灣台中市西區英才路600號B1,"24.1411862,120.6632784",https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E7%81%A3%E5%8F%B0%E4%B8%AD%E5%B8%82%E8%A5%BF%E5%8D%80%E8%8B%B1%E6%89%8D%E8%B7%AF600%E8%99%9FB1,#公益音樂會,https://static.accupass.com/eventbanner/2504080549311243161924_P520x260.jpg,https://www.accupass.com/event/2503170121311259171642?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_
4,瘋推進行式：4月27日 閉幕討論會【你推的孩子？！：一場互視及互談】ft. ExLAB,2025.04.27 (日) 15:00 - 18:00,台北市,台灣台北市大同區鄭州路25號4樓,"25.0494273,121.5117372",https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E7%81%A3%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%90%8C%E5%8D%80%E9%84%AD%E5%B7%9E%E8%B7%AF25%E8%99%9F4%E6%A8%93,#攝影創作,https://static.accupass.com/eventbanner/2504091654091968952872_P520x260.jpg,https://www.accupass.com/event/2504091645291179054988?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_
5,【女生免費限定報名專屬頁面】台北單身限定💕面具彩繪聯誼×BISOU保養贈品！免費！可愛女生首次參加活動免費💕面具彩繪聯誼體驗派對 💕 七月限定彩繪聯誼活動～！親手設計專屬面具！,2025.07.06 (日) 14:00 - 16:30,台北市,台灣台北市基隆路一段（市政府捷運站走路兩分鐘）,"25.0611459,121.5167929",https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E7%81%A3%E5%8F%B0%E5%8C%97%E5%B8%82%E5%9F%BA%E9%9A%86%E8%B7%AF%E4%B8%80%E6%AE%B5%EF%BC%88%E5%B8%82%E6%94%BF%E5%BA%9C%E6%8D%B7%E9%81%8B%E7%AB%99%E8%B5%B0%E8%B7%AF%E5%85%A9%E5%88%86%E9%90%98%EF%BC%89,#單身聯誼,https://static.accupass.com/eventbanner/2504201147152950024100_P520x260.jpg,https://www.accupass.com/event/2504201123482256390310?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_
6,雲朵小圓餅-成人班,2025.06.01 (日) 13:30 - 17:00,高雄市,台灣高雄市新興區七賢一路311號B1F(高雄福華大飯店),"22.6339753,120.3056398",https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E7%81%A3%E9%AB%98%E9%9B%84%E5%B8%82%E6%96%B0%E8%88%88%E5%8D%80%E4%B8%83%E8%B3%A2%E4%B8%80%E8%B7%AF311%E8%99%9FB1F(%E9%AB%98%E9%9B%84%E7%A6%8F%E8%8F%AF%E5%A4%A7%E9%A3%AF%E5%BA%97),#雲朵小圓餅,https://static.accupass.com/eventbanner/2503120534214792022870_P520x260.jpg,https://www.accupass.com/event/2503100657091493229051?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_
7,【台北五月場次】下班隨手作 ‖ 手作課程-康乃馨油畫棒,2025.05.02 (五) 18:30 - 21:00,台北市,台灣台北市萬華區漢口街二段121號1樓,"25.0464554,121.501538",https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E7%81%A3%E5%8F%B0%E5%8C%97%E5%B8%82%E8%90%AC%E8%8F%AF%E5%8D%80%E6%BC%A2%E5%8F%A3%E8%A1%97%E4%BA%8C%E6%AE%B5121%E8%99%9F1%E6%A8%93,#油畫課程,https://static.accupass.com/eventbanner/2504101305152098729054_P520x260.jpg,https://www.accupass.com/event/2504101138147064139840?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_
8,4/17開放報名，名額有限★114在職產業人才投資方案-AIGC視覺生成圖像攝影創作班(現場授課),2025.05.17 (六) 09:30 - 07.19 (六) 17:30,桃園市,台灣桃園市桃園區復興路180號4樓,"24.9902476,121.3093097",https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E7%81%A3%E6%A1%83%E5%9C%92%E5%B8%82%E6%A1%83%E5%9C%92%E5%8D%80%E5%BE%A9%E8%88%88%E8%B7%AF180%E8%99%9F4%E6%A8%93,#政府補助,https://static.accupass.com/eventbanner/2501090729223166340160_P520x260.jpg,https://www.accupass.com/event/2501080215321178012675?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_
9,8%ice CAFÉ 中山店 05/27《許晁維 大提琴獨奏會》音樂餐會,2025.05.27 (二) 18:30 - 20:00,台北市,台灣台北市中山區中山北路二段78-3號,"25.0574071,121.5200484",https://www.google.com/maps/search/?api=1&query=%E5%8F%B0%E7%81%A3%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E4%B8%AD%E5%B1%B1%E5%8C%97%E8%B7%AF%E4%BA%8C%E6%AE%B578-3%E8%99%9F,#大提琴,https://static.accupass.com/eventbanner/2504240739431802376035_P520x260.jpg,https://www.accupass.com/event/2504240739292488111940?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_
