gov Id 識別碼,gov Name 景點名稱,Place ID,名稱,評分,評論數,分類標籤,地址,經度,緯度,營業狀態,營業時間,圖片資訊
C1_376420000A_000001,蘇澳冷泉公園,ChIJl46E4DXoZzQRguSwNiYmEyM,蘇澳冷泉公園,3.8,7287,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮冷泉路6之4號,121.850703,24.5973124,OPERATIONAL,{'open_now': True},AeeoHcKgb-k_R5JRcS8iJwjWI5Tc6OpJIs4P_C3K6mmfRcjW1GWDcfUOQBLTDZuzlwKUYgPFPHPJ1lD70_KL-t72cVVfWvaH0B5VuklH9ox6ca6e2ljG52u7P8LOP48g-r9oFjmqJvlLaEslwC1BQKSY_wfbn0Fe77FPRDTL8d4A3TLODXaoMApWNMH_oFEbQeBA9VSJK-yyt6sHgIEBp1kt2zkAmZp1AWN27JYISzKuLw-sYdqlOj57M47gEPBHkbsFE18VNsD3TF0PPVe8lxDs24uu88i_uKlSipNsdYTQx1tsivuwCl8
C1_376420000A_000002,豆腐岬風景區,ChIJtUP3qTXoZzQRH9XGPtgr2j0,豆腐岬風景區,4.3,6263,"['tourist_attraction', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮,121.8714345,24.583822,OPERATIONAL,{'open_now': True},AeeoHcLG4T5pdIqFqUQOy4tSHPrBLUcVt6lFR-JekX4mpOLOZHM8H7D2hRRmWvviruklIdQJQcR8Pdu2m1HoagKaXWCLWZt0WtATWTQ53abD837ehqMbJfFOBpuz4FdxpbX2yc8kj2_u0KfDDucc8inFxcGx9UYg4Y0dRSFNNOhaYBSkFXf93g3Moy1U_dzuNKpqVYNZ5qOTQi7icFYIVNxK0GLZKaZFfbfHQ-oJg57R42F2lxIFhlIjgDKz_aT07PDrJUCjgvVYre7BqnaE-eHwJBAvpfAHOb9swZufZ4dbLeTXlP5kjUo
C1_376420000A_000003,武荖坑風景區,ChIJTZgZcHboZzQRDdgb5km-Ros,武荖坑風景區,4.2,3172,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮武荖坑路75號,121.8144652,24.6106094,OPERATIONAL,{'open_now': True},AeeoHcLMzvsK5Y-X1PyeVfQU8_NuwwarpDGwbxac3k4lwnBEXGQdOISCKKMzg6crwOYmtsUQ5sdKmkSiIdgKxA_RM8Os34MkfhWs3o0yYDQV-5xGPwcspLxbK47HM3lxTza0JJxrMskFbJj1dvfpYEId9n39ejXW4ZlXeY40grQfqCmeboDTQQJ_t4oS65XglxuGlSzbcAbHAg1yvDxzx-vm5eFo5EWSSdYAX1_cqYo7chgoZUKXNMY-DlPyAEENzAntv2AKFYkT9tVj4W09pkAZ8JCDWvKudnqcVcJVIhqSYXbLuXFEWKgkVF3zXSxh57EaLdx7MNVjlGBBXoEr-oWemvStUkSFnbWH1ahOvjxtxHGb5kQs64SBqR4PxcN9WMFPgfeK-ESiUW0QQUjUjW-fFcEv1HHIQXwT3z1EsaOJhmXCDB5K8cYWF9K3XwYrFe2EPKIPY_WfAG9aV-UcFKpV1bCADkKz3r0qux5n3I6BJ4zewG00GzF-UGuZ-C39RsFzbubhsZM0DBdGsJhST2VCey4F2EUI0cdoE66nCX5g6WJ_1vsp7Ffkxg5XQnDP4Ua9QIr25GCH
C1_376420000A_000009,頂寮生態公園,ChIJibyDQejoZzQReCK_U9UbbVU,頂寮生態公園,3.6,222,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮頂寮,121.8427459,24.6394413,CLOSED_TEMPORARILY,,AeeoHcIUA0fPKEkW9eDXD1fvmnk7Qt6Vti8euubmI8yIE7vRTM6DlQuMkr1Mogg0vHuVC-LqiP7Okw8vc636PYWPNP7Q_uMMGTg_J8v1d3oZ-Zr2xq6einfXxC5g916rTj_gZpODDTkAlu7yuwED-Q_4xwmueyLKRxpZq2aq8SKPFazXkfrTU7LZYocP0PWkchkE3tTlflmpNNf6sdv-4_uB8KK817uNN2uQMHzkRxT5Xpd1NjYpa2RFrD24173z7TN--kNl0ovzk0SxhyxY7zaGqTkajovZ5CFEcTCZyzImtOt59FBDy70G22s1LYkh0gCUZ3r1JpNe8vWAxOuR740M7nVLw9PyrUFlUP8X5nfYHSfrXVx4QpSxA65uASKb_mN7yeRnM64rwN6JUEq40-_mhGSlK0W495EuGjlYuV2_XRkrqcmIYgO8xBMOuUDmHNCsJr2Sq7KfTwz_fCHZisMbytO42VRo-b5VQmupVOmt3wdwwT5CsLoPKg64AyawoRs3eEZcawTzxi-rfJEoGDugH2N55xAe-VaOqOT4BSLI2LYT9lizMEA4ytO0EzN7fjjvZyAE0Jr7
C1_376420000A_000016,砲台山風景區,ChIJAQAAQDPoZzQRuVNnGlQBeoU,砲台山風景區,3.9,612,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮,121.8569861,24.5932222,OPERATIONAL,{'open_now': True},AeeoHcJ7rt8g62C_UWXuk7rolkvDmjhMazaOKdrod3LQiAI6JktYUBoYjcPQ3wvb5sZQrxtSrlYhEth8h1aK8zimyzkImLcf3IfRytwqlTjIVwc6NEGVzqK_qEA5RAIfcBjaEsgDVVfF39EZSgYvUisnjkcIa9nqjZ3uSFdO-9slRdfl0Fsd34NlySKYyDkNRtN4M7O2En9SpP_TZp48DGqBc8fc0pvEnQSnq38_sGI8iWhecqKkXIIiRT7NvxITAIfNmzCb0voo4gUENmtoZTg_QpZ7NnpQmVlg6C_g0spHURW-4WYA4MQ
C1_376420000A_000023,宜蘭餅發明館,ChIJb6lDH2boZzQR871NrJByho4,宜蘭餅發明館,4.4,20516,"['tourist_attraction', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",270台灣宜蘭縣蘇澳鎮海山西路369號,121.8291677,24.6145577,OPERATIONAL,{'open_now': True},AeeoHcKcCvHfFDhAHlhIWa-HmmOi_TO3D2Jxr7oltaanVfzyaJjG50nNgE1oQiVwf2UWH3kdMsuZX9mu7I-HSwD_oYyeW2nRV-5iKEVFQS-SDdn5HmPEmVp6rd7h8G-LNNdOEHvniozDDrRjisdCi86_oIfsBOcb7poppNjF7JnxxnIaCg-mbubrKEP_g_6uBtRwgUOGkwmt2pqbzKl3S5EJSU0-5MLWJ6SGY4HkIxhI9EWpn8Ib6wHBQwHool0p1kVFZaJXs34KDN2h_tjjJGnrigrWrYaFh8dCxoq66SkV2OZ_o-aIXGc
C1_376420000A_000031,奇麗灣珍奶文化館,ChIJE9Hm6u3oZzQRHOcpGbeT_8A,奇麗灣珍奶文化館,4.2,21763,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",270台灣宜蘭縣蘇澳鎮頂強路23號,121.83672,24.6342063,OPERATIONAL,{'open_now': True},AeeoHcKF1nYSCTppterhbUt92Tu3Sk9Fqf6129AhOFhW_jW7ZLEAba9hW69uYgijc9sCpVT5_3kqBhOwJ8qzbYRT0FyYrdBB6MG4H6uoDEzxhD-jEZ47c5pKnqDaVR8rZjc_DkDqnQksAgnCHDbIiPZ-QIp53t2elLWm1etHHijKtiPNCIGAbRG1IMag8xKS5CZilpp8dBcjSLMO4k-RdImrB3wAyP7HOWANg1JV2I5aUMEBp5SVIjK_K-O5yY5V41EnbzOTfYFWFfx8ZWT9zN-DmlX4lVraXDGWRIdtZ3kAwAaXfYEjmOM
C1_376420000A_000071,橘之鄉蜜餞形象館,ChIJYa-rS0n7ZzQRq6rvo8hKYmg,橘之鄉蜜餞形象館,4.3,6702,"['tourist_attraction', 'point_of_interest', 'establishment']",260台灣宜蘭縣宜蘭市梅洲二路33號,121.7368309,24.7801005,OPERATIONAL,{'open_now': True},AeeoHcJO3n9zY_osVa5ptNpsdBMRV_ovBvFsXMYneK_wpSThheCl7Azwrvmk0J9SG07RnCggptR9fpAD1ti7t3Kom9gRM0Ruh7yWgnTzLqgDf1K-iLWykUx_IXf4XrFF3t7dLrJuvGfh_kQ49ougu5CZctNX7dyuRmtxVI4Fu58HwYP-55wcGgeqjlMHyuX3q5x76vvdy6Mof7Csc_pDNhh4D8RunZAtYz2p1DPOleC5VpV3x4hwNmbJERWUprROjZ6s2yqs1txmV65OLM3KTHp9W5lirlJSJPn89p4tVvznTYKs1MYXizU
C1_376420000A_000075,柴圍佃圳水門公園,ChIJiRnm0Rn7ZzQRHN3eaTqBRzM,柴圍佃圳水門公園,3.4,51,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",262台灣宜蘭縣礁溪鄉四結路33之之36號,121.7544104,24.7937978,OPERATIONAL,{'open_now': True},AeeoHcJdP8ekdWlNBlD5E2HXp2H0b-k8hgrsU9Tj8bfQezsTzGo-ejNnom6hi-tmE4rzGHbd9yb3RFWPXUdVr0zTTreoj25efIaw1lEyXRvL42ZJbR2xiL8S13M_nAdZ_ZZZ__DOAXF-w47OtFVyJsaiBx8ibuwgoEe1RSywneAbcVznqxoafqEH_brazLm-Wj9M0QJ1pmYEwapHcYWgNfvymv1NDFfQzXBLroQn_X2yC6ddXsy8H8qew4y6gOuQzZQPoGH5EQZvrHFtDb18Kq8a6iiixxtCAfUDIYMW43-JU-FX2Ar-R-c
C1_376420000A_000080,金車生技水產養殖研發中心,ChIJ4XxrOGn6ZzQRNaC6GgG-bMI,金車生技水產養殖研發中心,4.0,10998,"['tourist_attraction', 'zoo', 'aquarium', 'point_of_interest', 'establishment']",262台灣宜蘭縣礁溪鄉淇武蘭路162之13號,121.7936162,24.816999,OPERATIONAL,{'open_now': True},AeeoHcK4-PI0XIrQaBsJVMPAIYiqN7OCHGvXan4H8qVqeAZE89Z8OFLywSeUL6qlkFla-u_cwh5yuscY7VUZQwCfZ6ay6RcqfzkJCgvye4BXinm-FRttsmo47Io4-wJP4fVxGEXP3WTNx3JmHB8hwLE2dwCFwObMLiXkpOKTswPMmIzarFnQoF_Uz83wFWB7IWRdwotbjniqOItzbhLKT1hzV9h9v4k0ckE0ohEj3rLjOdIj8BkaEhV50-80ICgGywVncERDmURRDfbp_bgaSLm7LpLHhf23M9oPsYguWTiPmV8nzsd0cVA
