accomo_id,a_name,county,address,rate,geo_loc,pic_url,b_url,ac_type,comm,area,fac
C4_A15010000H_014770,101旅店芝蘭賓館,新竹市,新竹市中華路2段480號,3.5,POINT(120.97131 24.80191),https://cf.bstatic.com/xdata/images/hotel/max500/55065907.jpg?k=332a28524cd38b6ad47b1bcac99c69ae815defdc5fca85a2721b671b55d59211&o=&hp=1,https://www.booking.com/hotel/tw/101lu-guan.zh-tw.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF_mlrDnq7nluIIg5p2x5Y2AIOiKneiYreizk-mkqEgwWARo5wGIAQGYATC4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Apy3ysAGwAIB0gIkZDU3YmJjMmMtZmM4Yy00MjliLWI1ODgtNTdjNDY4MmUwMmVh2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=eaf099ce9a1a02cb&srepoch=1746049950&from=searchresults,飯店,456.0,東區,提供免費 WiFi 禁菸客房 客房服務
C4_A15010000H_002356,101溜滑梯民宿,宜蘭縣,冬山鄉安農路101號,3.4,POINT(121.72916 24.68622),https://cf.bstatic.com/xdata/images/hotel/max500/221822338.jpg?k=5d73618ed725e0b929578d65d309afefb0f266d614e5842dabea92b81f276f2d&o=&hp=1,https://www.booking.com/hotel/tw/yi-lan-qin-zi-101min-su.zh-tw.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF_lrpzomK3nuKMg5Yas5bGx6YSJIDEwMeawkeWuv0gwWARo5wGIAQGYATC4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsHiysAGwAIB0gIkMjFhN2I0NzYtMzQ3Yy00MDU1LTg0NDYtMDU1MzIwMjc3MTg42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=79a1a4a0c553052d&srepoch=1746055491&from=searchresults,民宿,48.0,冬山鄉,提供免費 WiFi 停車位 家庭房
C4_A15010000H_027340,106民宿,新北市,瑞芳區靜安路4段109號,4.5,POINT(121.793 25.1098),https://cf.bstatic.com/xdata/images/hotel/max500/267135017.jpg?k=a8525e09fb48737d0253d7f578a94c506405186b8ddd8f066c6896e296c9673e&o=&hp=1,https://www.booking.com/hotel/tw/106min-su.zh-tw.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF_mlrDljJfluIIg55Ge6Iqz5Y2AIDEwNuawkeWuv0gwWARo5wGIAQGYATC4ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArX8ycAGwAIB0gIkMjVlNzFkYmEtNTgwMC00MDdkLWFlNDItNDI3ZDU2YjhlMDcz2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=427b8b1ac02f03a8&srepoch=1746042422&from=searchresults,民宿,345.0,瑞芳區,提供免費 WiFi 停車位 禁菸客房
C4_A15010000H_000235,123會館,宜蘭縣,五結鄉公園一路18號,4.4,POINT(121.81611 24.67765),https://cf.bstatic.com/xdata/images/hotel/max500/199638492.jpg?k=43abddda9619d54ea7a1c1c096b5f7b38154f3be740233f40c9a028273238d9f&o=&hp=1,https://www.booking.com/hotel/tw/123hui-guan-yi-lan-xian.zh-tw.html?aid=304142&label=gen173nr-1FCAQoggJCJHNlYXJjaF_lrpzomK3nuKMg5LqU57WQ6YSJIDEyM-acg-mkqEgwWARo5wGIAQGYATC4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AvXIysAGwAIB0gIkMzgxYzJiYmUtNGI4Ny00NTZjLWE0MWUtNWUwODkxM2YzNTk02AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=661c9e3a7689019d&srepoch=1746052216&from=searchresults,民宿,11.0,五結鄉,提供免費 WiFi 停車位 禁菸客房
C4_A15010000H_004209,167牧場原味民宿,花蓮縣,溪口村牧場167號,4.8,POINT(121.48334 23.82303),https://cf.bstatic.com/xdata/images/hotel/max500/71308801.jpg?k=911739e1445a0c57ab257688651dda1315d2d8849cc5f405aef9bdd1e3cb13df&o=&hp=1,https://www.booking.com/hotel/tw/167mu-chang-yuan-wei-min-su.zh-tw.html?aid=304142&label=gen173nr-1FCAQoggJCMHNlYXJjaF_oirHok67nuKMg5aO96LGQ6YSJIDE2N-eJp-WgtOWOn-WRs-awkeWuv0gwWARo5wGIAQGYATC4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AuylysAGwAIB0gIkZWMyYzEzNjgtZDgzMC00MTU5LWE2MmItM2U3NjhjYmMxY2I22AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=52529576628b006c&srepoch=1746047726&from=searchresults,民宿,3.0,壽豐鄉,提供免費 WiFi 停車位 禁菸客房
C4_A15010000H_001010,168活水源民宿,台中市,東勢區東關路4段1078巷51號,4.9,POINT(120.8417 24.18311),https://cf.bstatic.com/xdata/images/hotel/max500/149728815.jpg?k=19497f5ef528aeed10e50c079098b757c4f4237deec01b2d157dd6b1c51c573d&o=&hp=1,https://www.booking.com/hotel/tw/dong-shi-de-jia.zh-tw.html?aid=304142&label=gen173nr-1FCAQoggJCJ3NlYXJjaF_oh7rkuK3luIIg5p2x5Yui5Y2AIDE2OOa0u-awtOa6kEgwWARo5wGIAQGYATC4ARfIAQzYAQHoAQH4AQOIAgGoAgO4ArTwycAGwAIB0gIkNTViNDM0YjctYWVlZi00MDQ2LWJmMTctZDJjNjY1MGM5NDQ52AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=9201881a46bd0773&srepoch=1746040885&from=searchresults,民宿,6.0,東勢區,提供免費 WiFi 停車位 禁菸客房
C4_A15010000H_029741,17樂趣,台南市,台南中西區樹林街2段125巷17號,4.7,POINT(120.20231 22.98558),https://cf.bstatic.com/xdata/images/hotel/max500/593887962.jpg?k=c20427213980862fb29abaf75de4695457752b2d9de576ffa5d04a5105c992ab&o=&hp=1,https://www.booking.com/hotel/tw/17le-qu.zh-tw.html?aid=304142&label=gen173nr-1FCAQoggJCI3NlYXJjaF_oh7rljZfluIIg5Lit6KW_5Y2AIDE35qiC6LajSDBYBGjnAYgBAZgBMLgBF8gBDNgBAegBAfgBA4gCAagCA7gCtb3KwAbAAgHSAiQ3YTMyYWQwYy1lMTA3LTQxNzQtOGFhZC1lZWZlYWQ2OTJhN2bYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f8b09b5a22d303e8&srepoch=1746050743&from=searchresults,民宿,10.0,中西區,提供免費 WiFi 停車位 禁菸客房
C4_A15010000H_016363,18個孩子民宿,新北市,三芝區三芝區芝柏路97號,4.5,POINT(121.50994 25.25852),https://cf.bstatic.com/xdata/images/hotel/max500/159423537.jpg?k=9d0887207d991b332050f01fadf3cd99f53bc8bcb50a40fa324023f0707483d3&o=&hp=1,https://www.booking.com/hotel/tw/18ge-hai-zi-min-su.zh-tw.html?aid=304142&label=gen173nr-1FCAQoggJCLHNlYXJjaF_mlrDljJfluIIg5LiJ6Iqd5Y2AIDE45YCL5a2p5a2Q5rCR5a6_SDBYBGjnAYgBAZgBMLgBF8gBDNgBAegBAfgBA4gCAagCA7gC0PvJwAbAAgHSAiQ1ZDMyYmQ1OC1mMzgzLTRiOTAtYTA1YS1iOWViNzczMjlhMTfYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4f708ae81ffc0855&srepoch=1746042321&from=searchresults,民宿,79.0,三芝區,提供停車位 禁菸客房 家庭房
C4_A15010000H_027198,1919背包客棧,宜蘭縣,宜蘭市光復路4號3,4.5,POINT(121.75729 24.75491),https://cf.bstatic.com/xdata/images/hotel/max500/287527199.jpg?k=0c0c76a71f339f420dd1b8ef210d5280299de4ffbce2da60da972855d69cac6e&o=&hp=1,https://www.booking.com/hotel/tw/1919bei-bao-ke-zhan.zh-tw.html?aid=304142&label=gen173nr-1FCAQoggJCK3NlYXJjaF_lrpzomK3nuKMg5a6c6Jit5biCIDE5MTnog4zljIXlrqLmo6dIMFgEaOcBiAEBmAEwuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALYicrABsACAdICJDQ1MWY5N2RhLTRlODctNDRjYS04YmIxLTA2OWQzOWE0YWYzMdgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=a7958e6c826802c9&srepoch=1746044121&from=searchresults,青旅,805.0,宜蘭市,提供免費 WiFi 禁菸客房 家庭房
C4_A15010000H_014588,193線花園民宿,花蓮縣,吉安南濱路1段36號,4.3,POINT(121.60366 23.96001),https://cf.bstatic.com/xdata/images/hotel/max500/625819041.jpg?k=1f4f907bb3dba80db6fdd33d50e452126b1660a6dab2753a8dea67eb223820ab&o=&hp=1,https://www.booking.com/hotel/tw/193-county-garden-bnb.zh-tw.html?aid=304142&label=gen173nr-1FCAQoggJCLXNlYXJjaF_oirHok67nuKMg5ZCJ5a6J6YSJIDE5M-e3muiKseWckuawkeWuv0gwWARo5wGIAQGYATC4ARfIAQzYAQHoAQH4AQOIAgGoAgO4AsazysAGwAIB0gIkMDRmOTA3N2MtMDI0Yi00NTZjLWFjZTAtZmU5ZmJlMmQyMThm2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=38a498e3817309d9&srepoch=1746049480&from=searchresults,民宿,38.0,吉安鄉,提供免費 WiFi 停車位 禁菸客房
C4_A15010000H_001427,1969米平方種籽民宿,花蓮縣,吉安福興六街20號,4.8,POINT(121.56599 23.96538),https://cf.bstatic.com/xdata/images/hotel/max500/255341748.jpg?k=462057416e340208a2ea3d83bb470389aec1149ae3152cb9913df67d176cb4ce&o=&hp=1,https://www.booking.com/hotel/tw/1969mi-ping-fang-zhong-zi-min-su-ji-an-xiang.zh-tw.html?aid=304142&label=gen173nr-1FCAQoggJCNHNlYXJjaF_oirHok67nuKMg5ZCJ5a6J6YSJIDE5NjnnsbPlubPmlrnnqK7nsb3msJHlrr9IMFgEaOcBiAEBmAEwuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAK1nsrABsACAdICJGRjMGNlYWRkLTY1NGEtNDZjNi04NjlmLTBjN2Q0MTYxNmMzZtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4f70939a354a0bec&srepoch=1746046775&from=searchresults,民宿,60.0,吉安鄉,提供免費 WiFi 停車位 禁菸客房
