rd_zh,rd_en
一工路,YIGONG RD.
一中街,YIZHONG ST.
一心一路,YIXIN 1ST RD.
一心二路,YIXIN 2ND RD.
一心北街,YIXIN N. ST.
一心西街,YIXIN W. ST.
一心東街,YIXIN E. ST.
一心南街,YIXIN S. ST.
一心街,YIXIN ST.
一心新村,YIXIN NEW VIL.
一心路,YIXIN RD.
一甲路,YIJIA RD.
一成街,YICHENG ST.
一江街,YIJIANG ST.
一坑,YIKENG
一坑路,YIKENG RD.
一村巷,YICUN LN.
一秀,YIXIU
一流街,YILIU ST.
一致街,YIZHI ST.
一結路,YIJIE RD.
一善巷,YISHAN LN.
一新一巷,YIXIN 1ST LN.
一新一街,YIXIN 1ST ST.
一新二巷,YIXIN 2ND LN.
一新二街,YIXIN 2ND ST.
一部路,YIBU RD.
一壽街,YISHOU ST.
一德南路,YIDE S. RD.
一德街,YIDE ST.
一德路,YIDE RD.
丁子蘭坑,DINGZILANKENG
丁台路,DINGTAI RD.
丁厝街,DINGCUO ST.
七十份,QISHIFEN
七中路,QIZHONG RD.
七分坑,QIFENKENG
七戶巷,QIHU LN.
七古林,QIGULIN
七甲一街,QIJIA 1ST ST.
七甲二街,QIJIA 2ND ST.
七甲三街,QIJIA 3RD ST.
七甲五街,QIJIA 5TH ST.
七甲街,QIJIA ST.
七份路,QIFEN RD.
七圳路,QIZUN RD.
七成街,QICHENG ST.
七里溪巷,QILIXI LN.
七里橋,QILI BRIDGE
七和一街,QIHE 1ST ST.
七和路,QIHE RD.
七股,QIGU
七星村河背,"HEBEI, QIXING VIL."
七星巷,QIXING LN.
七星街,QIXING ST.
七星路,QIXING RD.
七星嶺,QIXINGLING
七座,QIZUO
七區,QIQU
七崙仔,QILUNZAI
七張路,QIZHANG RD.
七結路,QIJIE RD.
七結路名進巷,"MINGJIN LN., QIJIE RD."
七雄街,QIXIONG ST.
七塊厝,QIKUAICUO
七塊路,QIKUAI RD.
七聖街,QISHENG ST.
七腳川,QIJIAOCHUAN
七號巷,QIHAO LN.
七嘉路,QIJIA RD.
七寮,QILIAO
七寮路,QILIAO RD.
七賢一街,QIXIAN 1ST ST.
七賢一路,QIXIAN 1ST RD.
七賢二街,QIXIAN 2ND ST.
七賢二路,QIXIAN 2ND RD.
七賢三路,QIXIAN 3RD RD.
七賢南路,QIXIAN S. RD.
七賢街,QIXIAN ST.
七賢路,QIXIAN RD.
七瀨仔,QILAIZAI
九大路,JIUDA RD.
九大路河濱一巷,"HEBIN 1ST LN., JIUDA RD."
九大路河濱二巷,"HEBIN 2ND LN., JIUDA RD."
九井路,JIUJING RD.
九井路二段,"SEC. 2, JIUJING RD."
九分一路,JIUFEN 1ST RD.
九分二路,JIUFEN 2ND RD.
九分三路,JIUFEN 3RD RD.
九分子,JIUFENZI
九分街,JIUFEN ST.
九分路,JIUFEN RD.
九斗,JIUDOU
九甲一巷,JIUJIA 1ST LN.
