vil_zh,vil_en
一甲里,YIJIA VIL.
一村巷,YICUN LN.
一新一巷,YIXIN 1ST LN.
一新二巷,YIXIN 2ND LN.
一新里,YIXIN VIL.
一德里,YIDE VIL.
一橫一巷,YIHENG 1ST LN.
一橫巷,1ST SIDE LN.
丁台里,DINGTAI VIL.
七戶巷,QIHU LN.
七支巷,QIZHI LN.
七甲里,QIJIA VIL.
七佳村,QIJIA VIL.
七股里,QIGU VIL.
七星村,QIXING VIL.
七星里,QIXING VIL.
七星巷,QIXING LN.
七座里,QIZUO VIL.
七張里,QIZHANG VIL.
七結里,QIJIE VIL.
七結巷,QIJIE LN.
七塊村,QIKUAI VIL.
七號巷,QIHAO LN.
七嘉村,QIJIA VIL.
七賢村,QIXIAN VIL.
七賢里,QIXIAN VIL.
九斗里,JIUDOU VIL.
九甲一巷,JIUJIA 1ST LN.
九甲二巷,JIUJIA 2ND LN.
九甲巷,JIUJIA LN.
九如里,JIURU VIL.
九如巷,JIURU LN.
九曲里,JIUQU VIL.
九芎村,JIUQIONG VIL.
九芎里,JIUQIONG VIL.
九房里,JIUFANG VIL.
九房巷,JIUFANG LN.
九明村,JIUMING VIL.
九清村,JIUQING VIL.
九棚村,JIUPENG VIL.
九湖村,JIUHU VIL.
九隆里,JIULONG VIL.
九塊村,JIUKUAI VIL.
九塊里,JIUKUAI VIL.
九層坪巷,JIUCENGPING LN.
九層林巷,JIUCENGLIN LN.
九德里,JIUDE VIL.
九龍里,JIULONG VIL.
九龍橫巷,JIULONG SIDE LN.
二水村,ERSHUI VIL.
二王里,ERWANG VIL.
二甲里,ERJIA VIL.
二行里,ERXING VIL.
二和里,ERHE VIL.
二坪巷,ERPING LN.
二林巷,ERLIN LN.
二城里,ERCHENG VIL.
二城巷,ERCHENG LN.
二苓里,ERLING VIL.
二重村,ERCHONG VIL.
二重里,ERCHONG VIL.
二崁村,ERKAN VIL.
二崙村,ERLUN VIL.
二港村,ERGANG VIL.
二湖村,ERHU VIL.
二結村,ERJIE VIL.
二溪里,ERXI VIL.
二聖一巷,ERSHENG 1ST LN.
二聖二巷,ERSHENG 2ND LN.
二聖三巷,ERSHENG 3RD LN.
二寮里,ERLIAO VIL.
二橋里,ERQIAO VIL.
二龍村,ERLONG VIL.
二鎮里,ERZHEN VIL.
二鬮里,ERJIU VIL.
人和村,RENHE VIL.
人和里,RENHE VIL.
人和巷,RENHE LN.
入船里,RUCHUAN VIL.
八中里,BAZHONG VIL.
八斗里,BADOU VIL.
八仙村,BAXIAN VIL.
八仙里,BAXIAN VIL.
八甲里,BAJIA VIL.
八西里,BAXI VIL.
八卦村,BAGUA VIL.
八卦里,BAGUA VIL.
八南里,BANAN VIL.
八翁里,BAWENG VIL.
八堵里,BADU VIL.
八張里,BAZHANG VIL.
八張巷,BAZHANG LN.
八連里,BALIAN VIL.
八勢里,BASHI VIL.
八爺里,BAYE VIL.
八號巷,BAHAO LN.
八德里,BADE VIL.
八德巷,BADE LN.
八德橫巷,BADE SIDE LN.
八賢里,BAXIAN VIL.
八寶村,BABAO VIL.
力行三巷,LIXING 3RD LN.
力行村,LIXING VIL.
力行里,LIXING VIL.
力行巷,LIXING LN.
力行橫巷,LIXING SIDE LN.
力里村,LILI VIL.
力社村,LISHE VIL.
十三里,13TH VIL.
十三股巷,SHISANGU LN.
十分里,SHIFEN VIL.
十文巷,SHIWEN LN.
十甲里,SHIJIA VIL.
十甲東巷,SHIJIA E. LN.
十甲巷,SHIJIA LN.
十份里,SHIFEN VIL.
十全里,SHIQUAN VIL.
十字村,SHIZI VIL.
十股巷,SHIGU LN.
十股寮巷,SHIGULIAO LN.
十美里,SHIMEI VIL.
十張仔巷,SHIZHANGZAI LN.
十興里,SHIXING VIL.
三叉巷,SANCHA LN.
三山一巷,SANSHAN 1ST LN.
三山二巷,SANSHAN 2ND LN.
三山三巷,SANSHAN 3RD LN.
三山四巷,SANSHAN 4TH LN.
三山里,SANSHAN VIL.
三川里,SANCHUAN VIL.
三元里,SANYUAN VIL.
三戶巷,SANHU LN.
三水里,SANSHUI VIL.
三水源南巷,SANSHUIYUAN S. LN.
三仙里,SANXIAN VIL.
三奶里,SANNAI VIL.
三平里,SANPING VIL.
三民一巷,SANMIN 1ST LN.
三民二巷,SANMIN 2ND LN.
三民市場一巷,SANMIN MARKET 1ST LN.
三民市場二巷,SANMIN MARKET 1ST LN.
三民市場三巷,SANMIN MARKET 1ST LN.
三民西巷,SANMIN W. LN.
三民村,SANMIN VIL.
三民里,SANMIN VIL.
三民巷,SANMIN LN.
三永巷,SANYONG LN.
三玉里,SANYU VIL.
三生里,SANSHENG VIL.
三甲里,SANJIA VIL.
三甲巷,SANJIA LN.
三石里,SANSHI VIL.
三光里,SANGUANG VIL.
三光巷,SANGUANG LN.
三共里,SANGONG VIL.
三合村,SANHE VIL.
三合里,SANHE VIL.
三合巷,SANHE LN.
三吉里,SANJI VIL.
三吉巷,SANJI LN.
三地村,SANDI VIL.
三圳村,SANZUN VIL.
三多市場巷,SANDUO MARKET LN.
三多里,SANDUO VIL.
三多巷,SANDUO LN.
三安里,SAN’AN VIL.
三成村,SANCHENG VIL.
三西巷,SANXI LN.
三坑里,SANKENG VIL.
三村里,SANCUN VIL.
三村巷,SANCUN LN.
三汴村,SANBIAN VIL.
三角村,SANJIAO VIL.
三角里,SANJIAO VIL.
三角巷,SANJIAO LN.
三里巷,SANLI LN.
三協里,SANXIE VIL.
三和一巷,SANHE 1ST LN.
三和二巷,SANHE 2ND LN.
三和村,SANHE VIL.
三和里,SANHE VIL.
三和巷,SANHE LN.
三奇村,SANQI VIL.
三姓村,SANXING VIL.
三姓巷,SANXING LN.
三東巷,SANDONG LN.
三林里,SANLIN VIL.
三股里,SANGU VIL.
三舍里,SANSHE VIL.
三門巷,SANMEN LN.
三信里,SANXIN VIL.
三城巷,SANCHENG LN.
三星一巷,SANXING 1ST LN.
三星二巷,SANXING 2ND LN.
三星里,SANXING VIL.
三春村,SANCHUN VIL.
三泉巷,SANQUAN LN.
三界村,SANJIE VIL.
三界里,SANJIE VIL.
三省村,SANSHENG VIL.
三苓里,SANLING VIL.
三重里,SANCHONG VIL.
三厝西二巷,SANCUO W. 2ND LN.
三厝里,SANCUO VIL.
三厝東一巷,SANCUO E. 1ST LN.
三埔里,SANPU VIL.
三家村,SANJIA VIL.
三峰村,SANFENG VIL.
三峽里,SANXIA VIL.
三崁里,SANKAN VIL.
三座巷,SANZUO LN.
三桃巷,SANTAO LN.
三崙村,SANLUN VIL.
三張里,SANZHANG VIL.
三條村,SANTIAO VIL.
三條里,SANTIAO VIL.
三條巷,SANTIAO LN.
三犁里,SANLI VIL.
三盛村,SANSHENG VIL.
三部村,SANBU VIL.
三鹿里,SANLU VIL.
三港里,SANGANG VIL.
三湖村,SANHU VIL.
三湖里,SANHU VIL.
三結村,SANJIE VIL.
三華巷,SANHUA LN.
三貂里,SANDIAO VIL.
三進六巷,SANJIN 6TH LN.
三進四巷,SANJIN 4TH LN.
三間村,SANJIAN VIL.
三隆里,SANLONG VIL.
三塊村,SANKUAI VIL.
三塊巷,SANKUAI LN.
三愛里,SAN’AI VIL.
三爺里,SANYE VIL.
三義村,SANYI VIL.
三義里,SANYI VIL.
三義巷,SANYI LN.
三聖巷,SANSHENG LN.
三榮里,SANRONG VIL.
三福里,SANFU VIL.
三鳳九巷,SANFENG 9TH LN.
