title,free,from_price,date,image_url,event_url,event_id,address,location,lng,lat
基隆市 | STEPC WAVE PARTY｜浪趴郵輪派對,False,HK$ 6917,9月24日(週三) - 9月26日(週五),https://res.klook.com/image/upload/展演頁面活動首圖_直式_1_eijcnh.png,https://www.klook.com/zh-TW/activity/156235-stepc-wave-party-wave-party-cruise/,101029488,,,,
台北 | 台北｜大稻埕葉晋發商號｜展覽導覽,False,HK$ 77,5月11日(週日) - 12月31日(週三),https://res.klook.com/image/upload/截圖_2025-05-09_11.08.09_mlpxza.png,https://www.klook.com/zh-TW/activity/148490-taipei-dadaocheng-ye-jinfa-store-exhibition-tour/,101029482,,,,
台北 | Horus — The Eye of Truth【Darren Porter】,False,HK$ 257,6月21日(週六),https://res.klook.com/image/upload/Darren-Porter_326x460_tbzmmh.jpg,https://www.klook.com/zh-TW/activity/156100-horus-the-eye-of-truth-darren-porter/,101029481,,,,
台北 | 吳利昂 《混血兒Mixed Race》新專輯音樂分享會,False,HK$ 129,6月14日(週六),https://res.klook.com/image/upload/演唱會-326_460_jqmim2.jpg,https://www.klook.com/zh-TW/activity/156275-wu-li-ang-mixed-race-new-album-music-sharing-session/,101029480,,,,
台北 | 自造自然：超越有機的共生,False,HK$ 45,5月11日(週日) - 6月23日(週一),https://res.klook.com/image/upload/Klook_326_460_pcvjjn.jpg,https://www.klook.com/zh-TW/activity/156106-crafting-nature-symbiosis-beyond-organic/,101029479,,,,
台中 | 2025兒童夜訪歌劇院【7月、8月】,False,HK$ 167,7月18日(週五) - 8月22日(週五),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1746525517/events_admin/xbapiyk7p6edmeqmpzsw.jpg",https://www.klook.com/zh-TW/event-detail/101029463-2025-ntt-family-night-tour/,101029463,,,,
台北 | 蘇志燮x玉澤演見面會2025台北站｜2025 SOJISUB & OKTAECYEON FANMEETING : SONICe parTY IN TAIPEI｜台北國際會議中心 TICC,False,HK$ 977,5月25日(週日),"https://res.klook.com/image/upload/x_58,y_0,w_964,h_1350,c_crop/v1746419790/events_admin/ir20exliullys5nrbxkh.jpg",https://www.klook.com/zh-TW/event-detail/101029455-2025-sojisub-oktaecyeon-taipei/,101029455,,,,
台北 | IRENE & SEULGI演唱會2025台北站｜2025 IRENE & SEULGI Concert Tour [BALANCE] in TAIPEI｜台北國際會議中心 TICC,False,HK$ 689,8月3日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1746418390/events_admin/yddfg7ueoiubde1ngyhi.jpg",https://www.klook.com/zh-TW/event-detail/101029454-2025-irene-seulgi-taipei/,101029454,,,,
桃園 | 邊伯賢演唱會2025台北站｜2025 BAEKHYUN WORLD TOUR [Reverie] IN TAIPEI｜林口體育館,False,,9月20日(週六) - 9月21日(週日),"https://res.klook.com/image/upload/x_88,y_0,w_1463,h_2048,c_crop/v1746414615/events_admin/uhkt47xdgo3gkzn6vdpl.jpg",https://www.klook.com/zh-TW/event-detail/101029453-2025-baekhyun-concert-taipei/,101029453,,,,
台北 | Protection｜日本藝術家 Akiko SUMIYOSHI x U-die 雙人展覽｜也趣藝廊,True,,5月10日(週六) - 5月31日(週六),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1746413258/events_admin/fqc6kwjlytfepjzxi4gd.jpg",https://www.klook.com/zh-TW/event-detail/101029452-2025-protection-art-exhibition/,101029452,,,,
台北 | 摩登時代：唱片轉動 · 流行誕生,False,HK$ 39,5月24日(週六) - 8月10日(週日),https://res.klook.com/image/upload/KLOOK_W326_H460_qjaell.jpg,https://www.klook.com/zh-TW/activity/153542-modern-times-the-spinning-records-and-the-birth-of-pop/,101029449,,,,
台北 | 兒童新樂園超值星光場: K-POP狂歡音樂派對,False,HK$ 12,6月28日(週六) - 6月29日(週日),https://res.klook.com/image/upload/星動樂園_326x460_1_x7qyfo.jpg,https://www.klook.com/zh-TW/activity/155220-starry-land-k-pop-carnival-music-festival/,101029443,,,,
桃園 | RIIZE演唱會2025台北站｜2025 RIIZE CONCERT TOUR [RIIZING LOUD] IN TAIPEI｜林口體育館,False,,8月30日(週六),"https://res.klook.com/image/upload/x_0,y_0,w_1365,h_1911,c_crop/v1746162608/events_admin/fu0x0mu5j8x1i39o3vtq.jpg",https://www.klook.com/zh-TW/event-detail/101029441-2025-riize-taipei-concert/,101029441,,,,
"台北 | 京都新銳樂團Hakubi演唱會2025台北站｜Hakubi ep release tour ""27"" in TAIPEI｜SUB LIVE｜北流",False,HK$ 463,6月28日(週六),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1746160406/events_admin/btkb1tdvsv5m55ncv9zv.jpg",https://www.klook.com/zh-TW/event-detail/101029440-2025-hakubi-concert-taipei/,101029440,,,,
高雄 | 孫燕姿演唱會2025高雄站｜國泰世華銀行 孫燕姿 《就在日落以後》巡迴演唱會 - 高雄｜高雄巨蛋,False,,8月16日(週六) - 8月17日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1746157043/events_admin/xjd50lgiuuekuuunnz3x.jpg",https://www.klook.com/zh-TW/event-detail/101029439-2025-sun-yanzi-kaohsiung/,101029439,,,,
台北 | 大聲演唱會2025台北站｜DAESUNG 2025 ASIA TOUR：D's WAVE IN TAIPEI｜台北流行音樂中心,False,HK$ 977,6月28日(週六),"https://res.klook.com/image/upload/x_0,y_5,w_1022,h_1431,c_crop/v1746155417/events_admin/vam2bucy1e9lucbxbv6f.jpg",https://www.klook.com/zh-TW/event-detail/101029438-2025-daesung-taipei-concert/,101029438,,,,
屏東縣 | 飛人集社劇團《消失—神木下的夢》,False,HK$ 103,8月2日(週六) - 8月3日(週日),"https://res.klook.com/image/upload/x_0,y_13,w_1685,h_2359,c_crop/v1746091985/events_admin/bdrtaxmjfvhyplzbio4u.jpg",https://www.klook.com/zh-TW/event-detail/101029437-2025-la-disparition-show/,101029437,,,,
台中 | 2025中友兒童劇場-地球寶貝大冒險,False,,5月16日(週五) - 5月18日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1745980423/events_admin/bt75eqsrexmmh7zgxv95.jpg",https://www.klook.com/zh-TW/event-detail/101029428-2025-family-show/,101029428,,,,
台中 | Bloom : Boom —— 抽象藝術聯展 ,True,,4月26日(週六) - 6月8日(週日),"https://res.klook.com/image/upload/x_0,y_2,w_326,h_456,c_crop/v1745918278/events_admin/dhuy2czu9dtspxssjtrr.jpg",https://www.klook.com/zh-TW/event-detail/101029424-2025-bloom-boom-exhibition/,101029424,,,,
線上 | 【After We Started to Dream】林士棻數位版畫展,True,,5月1日(週四) - 7月28日(週一),"https://res.klook.com/image/upload/x_0,y_203,w_2756,h_3858,c_crop/v1745911692/events_admin/mbeejconoj0eicsmfept.jpg",https://www.klook.com/zh-TW/event-detail/101029416-2025-after-we-started-to-dream/,101029416,,,,
台北 | 會動的浮世繪展-日本藝術絕代之華 台北站 ,False,HK$ 90,7月5日(週六) - 10月6日(週一),https://res.klook.com/image/upload/klook_尺寸__展演頁面活動首圖_10_jrdlqe.jpg,https://www.klook.com/zh-TW/activity/154262-ukiyoe-immersive-art-taipei-edition/,101029427,,,,
台北 | 「鏡花水月」- 國光30戲曲沉浸劇場光影展,False,HK$ 46,5月13日(週二) - 6月1日(週日),https://res.klook.com/image/upload/鏡花水月_Klook_尺寸5_W326xH460pix-01_pwnawq.jpg,https://www.klook.com/zh-TW/activity/155237-reflections-of-illusions-guoguang-30-opera-immersive-theater-light-and-shadow-exhibition/,101029426,,,,
台北 | beabadoobee演唱會2025台北站｜beabadoobee Asia Tour 2025 - Taipei｜Legacy Taipei,False,HK$ 617,8月9日(週六),"https://res.klook.com/image/upload/x_8,y_0,w_1458,h_2041,c_crop/v1745898285/events_admin/krdbmncznxnrexlaxznx.jpg",https://www.klook.com/zh-TW/event-detail/101029414-2025-beabadoobee-taipei/,101029414,,,,
高雄 | 高雄駁二｜1OX1O｜超越10觀點的百種視野【門票】,False,HK$ 21,5月11日(週日) - 9月7日(週日),https://res.klook.com/image/upload/10X10_KLOOK_326x460_展演頁面活動首圖_vhwkua.jpg,https://www.klook.com/zh-TW/activity/154717-kaohsiung-pier-2-1ox1o-a-hundred-perspectives-beyond-10-points-of-view-admission-ticket/,101029411,,,,
"新北 | 羊文学演唱會2025台北站｜羊文学 Hitsujibungaku Asia Tour 2025 ""いま、ここ (Right now, right here.)"" 台北場｜Zepp New Taipei",False,HK$ 514,9月26日(週五),"https://res.klook.com/image/upload/x_0,y_388,w_2250,h_3150,c_crop/v1745893718/events_admin/ejyuv7umvqs79gzmnxph.jpg",https://www.klook.com/zh-TW/event-detail/101029410-2025-hitsujibungaku-taipei/,101029410,,,,
高雄 | 蘇打綠演唱會2025高雄站｜蘇打綠《二十年一刻》巡迴演唱會最終第二十站高雄巨蛋｜暑假2025,False,HK$ 226,8月9日(週六) - 8月10日(週日),"https://res.klook.com/image/upload/x_88,y_0,w_1463,h_2048,c_crop/v1745815863/events_admin/whu4ast4qka5av332ryt.jpg",https://www.klook.com/zh-TW/event-detail/101029403-2025-sodagreen-kaohsiung-arena/,101029403,,,,
