s_name,b_hours,county,address,rate,geo_loc,pic_url,gmaps_url,s_type,comm,area,create_time,update_time,spot_id
蘇澳冷泉公園,"
星期三 10:00–21:00
星期四 10:00–21:00
星期五 10:00–21:00
星期六 10:00–21:00
星期日 10:00–21:00
星期一 10:00–21:00
星期二 10:00–21:00",宜蘭縣,宜蘭縣蘇澳鎮冷泉路6之4號,3.8,POINT(121.85070 24.59731),https://lh3.googleusercontent.com/p/AF1QipMRKVzKJG9pEW2PwSECkQ352bHMLJos88DiBoiB=w408-h544-k-no,https://www.google.com/maps/place/?q=place_id:ChIJl46E4DXoZzQRguSwNiYmEyM,戶外,7315.0,蘇澳鎮,2025-05-07 03:50:30,2025-05-07 03:50:30,6793b7ba-db89-5297-aecb-32d71809f0ae
豆腐岬風景區,"
星期三 24 小時營業
星期四 24 小時營業
星期五 24 小時營業
星期六 24 小時營業
星期日 24 小時營業
星期一 24 小時營業
星期二 24 小時營業",宜蘭縣,宜蘭縣蘇澳鎮,4.3,POINT(121.87143 24.58382),https://lh3.googleusercontent.com/p/AF1QipNQnWEmxpfZvww96IEisSJSH8O26HqLUskmlBW5=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJtUP3qTXoZzQRH9XGPtgr2j0,戶外,6291.0,蘇澳鎮,2025-05-07 03:50:30,2025-05-07 03:50:30,93c3304d-3cf4-533f-b24a-ceb8cc18dce1
武荖坑風景區,,宜蘭縣,宜蘭縣蘇澳鎮武荖坑路75號,4.2,POINT(121.81447 24.61061),https://lh3.googleusercontent.com/p/AF1QipOBOjoRhbHY15zAFMztbCKvkzv4ZWDrzwqq4Uqb=w408-h270-k-no,https://www.google.com/maps/place/?q=place_id:ChIJTZgZcHboZzQRDdgb5km-Ros,戶外,3219.0,蘇澳鎮,2025-05-07 03:50:30,2025-05-07 03:50:30,48be4715-bb67-5413-80e9-931bd5ef996d
頂寮生態公園,"
星期三 24 小時營業
星期四 24 小時營業
星期五 24 小時營業
星期六 24 小時營業
星期日 24 小時營業
星期一 24 小時營業
星期二 24 小時營業",宜蘭縣,宜蘭縣蘇澳鎮頂寮,3.6,POINT(121.84275 24.63944),https://lh3.googleusercontent.com/p/AF1QipPKH9Hkuk1U-32MbZs7eC2L1af04zYMfQe_Lp_4=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJibyDQejoZzQReCK_U9UbbVU,戶外,222.0,蘇澳鎮,2025-05-07 03:50:30,2025-05-07 03:50:30,784b7832-a779-532e-bb34-20dc01c6b8f8
砲台山風景區,"
星期三 24 小時營業
星期四 24 小時營業
星期五 24 小時營業
星期六 24 小時營業
星期日 24 小時營業
星期一 24 小時營業
星期二 24 小時營業",宜蘭縣,宜蘭縣蘇澳鎮,3.9,POINT(121.85699 24.59322),https://lh3.googleusercontent.com/p/AF1QipNhUf_17jdt2-W1J-Hkx5mIYy9wC5_z5jHoE8xv=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJAQAAQDPoZzQRuVNnGlQBeoU,戶外,613.0,蘇澳鎮,2025-05-07 03:50:30,2025-05-07 03:50:30,5b7d8a88-7ffc-5b8b-9b8f-a19b86f5d3c5
宜蘭餅發明館,"
星期三 08:30–18:00
星期四 08:30–18:00
星期五 08:30–18:00
星期六 08:30–18:00
星期日 08:30–18:00
星期一 08:30–18:00
星期二 08:30–18:00",宜蘭縣,宜蘭縣蘇澳鎮海山西路369號,4.4,POINT(121.82917 24.61456),https://lh3.googleusercontent.com/p/AF1QipOPmkYjvUEJVXL7HfuuovRB8FBHYTfeuGDJxkvU=w408-h275-k-no,https://www.google.com/maps/place/?q=place_id:ChIJb6lDH2boZzQR871NrJByho4,室內,20577.0,蘇澳鎮,2025-05-07 03:50:30,2025-05-07 03:50:30,d36c6e54-b5c0-5920-bcb0-9b6ce12cd26c
南方澳討海文化館,"
星期三 09:00–12:00 13:00–16:00
星期四 09:00–12:00 13:00–16:00
星期五 09:00–12:00 13:00–16:00
星期六 09:00–12:00 13:00–16:00
星期日 09:00–12:00 13:00–16:00
星期一 09:00–12:00 13:00–16:00
星期二 09:00–12:00 13:00–16:00",宜蘭縣,宜蘭縣蘇澳鎮跨港路2號,3.8,POINT(121.87187 24.58525),https://lh3.googleusercontent.com/p/AF1QipO9eVoiz2foh-DnC9Hv6_jBHqPqAZIqeIgk3IkG=w408-h299-k-no,https://www.google.com/maps/place/?q=place_id:ChIJtWzbZ9DpZzQRCBe38uch6IY,室內,153.0,蘇澳鎮,2025-05-07 03:50:30,2025-05-07 03:50:30,73054dd6-f644-55ca-a7b9-bccd510f24fd
奇麗灣珍奶文化館,"
星期三 10:00–17:00
星期四 10:00–17:00
星期五 10:00–17:00
星期六 09:30–17:30
星期日 09:30–17:30
星期一 10:00–17:00
星期二 10:00–17:00",宜蘭縣,宜蘭縣蘇澳鎮頂強路23號,4.2,POINT(121.83672 24.63421),https://lh3.googleusercontent.com/p/AF1QipPU8vDdqD3vhcKoZEz2Llk-GOo0BOjZ7Y2WTCSo=w408-h270-k-no,https://www.google.com/maps/place/?q=place_id:ChIJE9Hm6u3oZzQRHOcpGbeT_8A,室內,21798.0,蘇澳鎮,2025-05-07 03:50:30,2025-05-07 03:50:30,31ac6c2b-fbdb-5bb2-994e-9d3b243b661b
祝大漁物產館 ZHU DAYU Culture Museum,"
星期三 09:00–17:00
星期四 09:00–17:00
星期五 09:00–17:00
星期六 09:00–17:00
星期日 09:00–17:00
星期一 09:00–17:00
星期二 09:00–17:00",宜蘭縣,宜蘭縣蘇澳鎮江夏路52之2號,3.7,POINT(121.86639 24.58526),https://lh3.googleusercontent.com/p/AF1QipMEfGfyaDjk7UM8dizk-NxSIfJX7vbXwl5KFiA=w408-h272-k-no,https://www.google.com/maps/place/?q=place_id:ChIJiYeA6c_pZzQRdLkmO0Blx_Q,室內,4312.0,蘇澳鎮,2025-05-07 03:50:30,2025-05-07 03:50:30,94f0a0e9-28fb-5d8a-817e-00d126f44367
橘之鄉蜜餞形象館,"
星期三 08:30–17:30
星期四 08:30–17:30
星期五 08:30–17:30
星期六 08:30–17:30
星期日 08:30–17:30
星期一 08:30–17:30
星期二 08:30–17:30",宜蘭縣,宜蘭縣宜蘭市梅洲二路33號,4.3,POINT(121.73683 24.78010),https://lh3.googleusercontent.com/p/AF1QipO4ATuszP1YbhXYV5JXCtTKjnCmdYGNRthpRRN7=w408-h271-k-no,https://www.google.com/maps/place/?q=place_id:ChIJYa-rS0n7ZzQRq6rvo8hKYmg,室內,6728.0,宜蘭市,2025-05-07 03:50:30,2025-05-07 03:50:30,4c3bfe64-7c79-5888-b529-1f9c8cf82370
